execution,method,dimension,dataset,dataset_size,accuracy,kappa,f1,macro-f1,time
0,iwc,100,amazon,10000,0.5957,0.19170206093982672,0.5522206224388082,0.3945870625388552,5296.9901921749115
0,word2vec,100,amazon,10000,0.5163,0.03343374072392626,0.33585061101194563,0.3185141126567028,3515.58336853981
1,iwc,100,amazon,10000,0.6131,0.22648318450615232,0.554069633387134,0.40414535976774957,5248.657428026199
1,word2vec,100,amazon,10000,0.5472,0.09452884854485215,0.5377310323700603,0.3646901468537734,6354.088244438171
2,iwc,100,amazon,10000,0.6329,0.2659043149968391,0.5898524810013411,0.4192217828717106,5118.440067052841
2,word2vec,100,amazon,10000,0.5687,0.1375425642141354,0.4847036328871894,0.3712947569458316,8195.595044612885
3,iwc,100,amazon,10000,0.6156,0.23140058907426345,0.5562868029095948,0.4057499785790846,5232.961603879929
3,word2vec,100,amazon,10000,0.5884,0.17698871648730952,0.5389355742296918,0.38908471943349615,9781.84346294403
4,iwc,100,amazon,10000,0.636,0.27086218043256516,0.5969884853852967,0.42172495423301876,5208.64981675148
4,word2vec,100,amazon,10000,0.5881,0.17542531208069984,0.5607337101418364,0.39101592509654765,11140.289162397385
5,iwc,100,amazon,10000,0.6313,0.2626369713822548,0.5788391224862888,0.4170061234285673,5170.253462791443
5,word2vec,100,amazon,10000,0.606,0.21205120091296467,0.5682341335087142,0.4019895315692281,12269.2646317482
6,iwc,100,amazon,10000,0.6278,0.24998622187209035,0.558128488303052,0.4122189105076506,5132.93075466156
6,word2vec,100,amazon,10000,0.5967,0.190918076473027,0.5647668393782384,0.39635994475160335,13305.214218139648
7,iwc,100,amazon,10000,0.6344,0.26767327138842717,0.603126356925749,0.42143085850740264,5186.625450849533
7,word2vec,100,amazon,10000,0.6088,0.2168301126739629,0.5864693446088795,0.405123839163519,14237.56608748436
8,iwc,100,amazon,10000,0.6222,0.24603602642625758,0.5584385226741468,0.4094559123470029,5234.453043937683
8,word2vec,100,amazon,10000,0.6208,0.24191407499872813,0.6134556574923548,0.4137959137039815,15085.845429182053
9,iwc,100,amazon,10000,0.6325,0.2655877501235759,0.6202191440975813,0.42142898023591696,5215.856265068054
9,word2vec,100,amazon,10000,0.6216,0.2436503154751725,0.613308800981294,0.41430314248319305,15888.610747814178
0,iwc,100,amazon,20000,0.6424,0.2852515780529861,0.6152273338714017,0.4270800742119205,10421.437660694122
0,word2vec,100,amazon,20000,0.6373,0.2746735481022224,0.6357289940234041,0.42487262763743106,34004.591970443726
1,iwc,100,amazon,20000,0.6451,0.29092762525343185,0.6290373157729695,0.4296327756786167,10389.74105834961
1,word2vec,100,amazon,20000,0.6409,0.2821842503598611,0.6339449541284403,0.4271908045894219,36961.47235369682
2,iwc,100,amazon,20000,0.64475,0.28822604918848876,0.6102791947781252,0.42797619612780585,10377.176630020142
2,word2vec,100,amazon,20000,0.65175,0.30327537249646974,0.6437886769293715,0.43439471923600265,39360.1480140686
3,iwc,100,amazon,20000,0.643,0.2860582790626801,0.6123778501628665,0.4271823165834762,10468.391070842743
3,word2vec,100,amazon,20000,0.65575,0.31153823028207245,0.6509505703422053,0.43713412684748726,41621.73410129547
4,iwc,100,amazon,20000,0.64075,0.28088371374710003,0.6140954018048991,0.4260269369248804,10378.380639314651
4,word2vec,100,amazon,20000,0.6521,0.3040419931739203,0.6437605612166521,0.43461616492598715,43721.3053252697
5,iwc,100,amazon,20000,0.6411,0.28187526399437823,0.5986691271039535,0.42470257453172716,10521.217801570892
5,word2vec,100,amazon,20000,0.6578,0.3155950449081253,0.6532907736738106,0.43850520936035847,45558.90890812874
6,iwc,100,amazon,20000,0.6521,0.304592901533598,0.6282722513089005,0.4337869739846923,10456.20216012001
6,word2vec,100,amazon,20000,0.6666,0.3333540985333535,0.659344027791969,0.44431010636721285,47314.8345143795
7,iwc,100,amazon,20000,0.64235,0.2846024233475325,0.6090521482453263,0.42649891542140533,10326.328447818756
7,word2vec,100,amazon,20000,0.67,0.3400089329790921,0.6642926184056571,0.44661358181116045,48996.47090911865
8,iwc,100,amazon,20000,0.649,0.2964008528223031,0.6106489184692179,0.4303844218345585,10477.8770134449
8,word2vec,100,amazon,20000,0.6655,0.33064255643156,0.6553323029366305,0.4434833614253935,50416.56253743172
9,iwc,100,amazon,20000,0.64265,0.2849361039833172,0.6118081581663135,0.42693030879029054,10445.39921784401
9,word2vec,100,amazon,20000,0.67225,0.34442598569378485,0.6640356721849213,0.4480470332507593,51918.26042127609
0,iwc,100,amazon,30000,0.6467333333333334,0.2933961318983219,0.6230301305538757,0.43022646766915446,15856.483150720596
0,word2vec,100,amazon,30000,0.6731,0.3462186545610565,0.6722155368364755,0.4487391549452259,79843.85923337936
1,iwc,100,amazon,30000,0.6385666666666666,0.2778206667113693,0.6179973222464943,0.42501630280616337,15787.980219125748
1,word2vec,100,amazon,30000,0.6653333333333333,0.3307567572175957,0.6645504059879039,0.4435616720855308,82537.83739185333
2,iwc,100,amazon,30000,0.6491,0.2981839065771822,0.6265256883338063,0.4318813429130918,15517.600267648697
2,word2vec,100,amazon,30000,0.6704333333333333,0.34088354151270717,0.6676304464766003,0.4469471619914014,85185.17446208
3,iwc,100,amazon,30000,0.6485,0.29633984950214126,0.6151824817518248,0.43056876716696557,15746.684496164322
3,word2vec,100,amazon,30000,0.6732333333333334,0.34633263435223177,0.665415073730202,0.4487101044277801,87442.72333621979
4,iwc,100,amazon,30000,0.6428,0.2856702805200006,0.6112602481317565,0.4269622876664432,15782.32851099968
