execution,method,dimension,dataset,dataset_size,accuracy,kappa,f1,macro-f1,time
0,bert,384,amazon,10000,0.787,0.5744723272062477,0.7832196314020975,0.5246482415802236,398.1015384197235
0,hashing-tricks,384,amazon,10000,0.6173,0.2304357493179944,0.6694314843615,0.4050627203064545,25.095782995224
1,bert,384,amazon,10000,0.7948,0.5900168298890517,0.7913742243922286,0.5298548752170267,394.6350476741791
1,hashing-tricks,384,amazon,10000,0.6234,0.2433564090876551,0.6695919262834577,0.4106295108377061,25.262019634246826
2,bert,384,amazon,10000,0.7815,0.5630586637438058,0.7751363589585263,0.5209087740002454,381.20060443878174
2,hashing-tricks,384,amazon,10000,0.6315,0.2629710642439822,0.6698916061990503,0.41765362276953405,25.342540740966797
3,bert,384,amazon,10000,0.7824,0.5645557157565394,0.7738850192327684,0.5214170359549176,388.87456607818604
3,hashing-tricks,384,amazon,10000,0.6123,0.2267380692385553,0.6564438929267861,0.4038935954511412,25.303448915481567
4,bert,384,amazon,10000,0.7765,0.5532566451225098,0.7698330929322069,0.5175650774167301,382.3859302997589
4,hashing-tricks,384,amazon,10000,0.6135,0.2254820066945609,0.6630036630036631,0.4033520940822008,25.757126092910767
5,bert,384,amazon,10000,0.7897,0.5788079134362337,0.777424819991529,0.5260609182065558,373.8875391483307
5,hashing-tricks,384,amazon,10000,0.6047,0.21269680065512872,0.6475833779204566,0.39920394517287844,25.250216484069824
6,bert,384,amazon,10000,0.7745,0.5487220759777116,0.7632850241545894,0.5160172186079869,370.4651389122009
6,hashing-tricks,384,amazon,10000,0.6052,0.2121797332518,0.6499334811529933,0.3991295922962981,25.400574922561646
7,bert,384,amazon,10000,0.7834,0.5661060386761378,0.769427294017458,0.5217594358967513,397.6714005470276
7,hashing-tricks,384,amazon,10000,0.5973,0.19840579294437471,0.6452919933057342,0.3932143794479674,25.410730123519897
8,bert,384,amazon,10000,0.7825,0.5648364916633776,0.7719261435165757,0.5213767378168847,396.8049461841583
8,hashing-tricks,384,amazon,10000,0.6187,0.2383854834874961,0.6558945658061023,0.40949203831992814,25.374205112457275
9,bert,384,amazon,10000,0.7777,0.5554164940480707,0.7704545454545455,0.5183422313061813,390.77102303504944
9,hashing-tricks,384,amazon,10000,0.6144,0.2291065843114192,0.6642863363232605,0.40383053233634286,25.475626945495605
0,bert,384,amazon,20000,0.78595,0.5721301661590672,0.7781003732890917,0.5237995401990951,756.5725796222687
0,hashing-tricks,384,amazon,20000,0.6251,0.24889723102478176,0.6725485913955012,0.41139053451879976,50.919724464416504
1,bert,384,amazon,20000,0.78105,0.5620157383978317,0.7723585690515807,0.5204983933403023,773.757269859314
1,hashing-tricks,384,amazon,20000,0.61065,0.22211964863682965,0.661595966620306,0.4010981709698393,51.10134983062744
2,bert,384,amazon,20000,0.7813,0.562699551447113,0.7723534922452377,0.5206537941835822,770.4951183795929
2,hashing-tricks,384,amazon,20000,0.6191,0.23773929725386714,0.6687249956514176,0.4069150757917437,50.86318588256836
3,bert,384,amazon,20000,0.7841,0.56834949783492,0.7770779556014454,0.5226031500331607,781.5656614303589
3,hashing-tricks,384,amazon,20000,0.61395,0.2268536391781911,0.667670985236517,0.4024051003712959,50.94758892059326
4,bert,384,amazon,20000,0.78895,0.5779211039448029,0.782249742002064,0.5258452144517283,779.3334624767303
4,hashing-tricks,384,amazon,20000,0.61975,0.239538023098845,0.6741794498243208,0.4059080850193668,51.21392822265625
5,bert,384,amazon,20000,0.78755,0.5749557059630602,0.7793017456359103,0.5248468431029955,791.5572226047516
5,hashing-tricks,384,amazon,20000,0.62215,0.24559519234996588,0.6703315881326353,0.409286125138421,50.934122800827026
6,bert,384,amazon,20000,0.789,0.5782317110625765,0.7835189081020063,0.5259218723414945,753.0163130760193
6,hashing-tricks,384,amazon,20000,0.6246,0.24737800752329295,0.6739630836047774,0.4105465099781527,50.97695732116699
7,bert,384,amazon,20000,0.78725,0.5745606080957707,0.7788576477314069,0.5246415366221625,786.3491125106812
7,hashing-tricks,384,amazon,20000,0.6187,0.23713380547008073,0.6732087761398696,0.40520270133066577,51.043904304504395
8,bert,384,amazon,20000,0.7779,0.5555628483358721,0.7685252735799895,0.5183693340690086,760.4151532649994
8,hashing-tricks,384,amazon,20000,0.63115,0.26401337685867304,0.675978389774674,0.4159791785166586,50.9515483379364
