execution,method,dimension,dataset,dataset_size,accuracy,kappa,f1,macro-f1,time
0,bert,384,yelp,10000,0.462,0.2899806610792105,0.0,0.3418998375092994,379.37902879714966
0,hashing-tricks,384,yelp,10000,0.4617,0.15110676485904984,0.0,0.23458216670693996,50.46353626251221
1,bert,384,yelp,10000,0.4639,0.2908047323762826,0.0,0.3411743280698493,386.0423250198364
1,hashing-tricks,384,yelp,10000,0.4591,0.14495046616955973,0.0,0.23310347308825427,50.30759119987488
2,bert,384,yelp,10000,0.4795,0.3081580671534079,0.0,0.35173742700852834,395.3752009868622
2,hashing-tricks,384,yelp,10000,0.4692,0.15923802191768902,0.0,0.24200597908047194,50.58398175239563
3,bert,384,yelp,10000,0.4727,0.3050776472604449,0.0,0.3524481508936123,387.4808974266052
3,hashing-tricks,384,yelp,10000,0.4585,0.15237887646763495,0.0,0.23805777268173567,50.61035919189453
4,bert,384,yelp,10000,0.4665,0.29194107102254435,0.0,0.342973893230097,377.20431303977966
4,hashing-tricks,384,yelp,10000,0.4738,0.16557609058031514,0.0,0.24637676372814285,50.4380145072937
5,bert,384,yelp,10000,0.4617,0.28877573424887965,0.0,0.3430353257211595,380.32336473464966
5,hashing-tricks,384,yelp,10000,0.4698,0.15789921743552046,0.0,0.2444895498838541,50.64820861816406
6,bert,384,yelp,10000,0.4576,0.2874723530996962,0.0,0.3443881547112719,379.81241846084595
6,hashing-tricks,384,yelp,10000,0.4486,0.139795064676366,0.0,0.23308004879723065,50.827462673187256
7,bert,384,yelp,10000,0.4741,0.3044652694869747,0.0,0.34983488251702166,381.77690291404724
7,hashing-tricks,384,yelp,10000,0.4484,0.1329055384369723,0.0,0.2295173754514891,50.897655725479126
8,bert,384,yelp,10000,0.4739,0.2987231549497515,0.0,0.3453826338976558,378.1146078109741
8,hashing-tricks,384,yelp,10000,0.4725,0.15105510653389345,0.0,0.23841011465678388,50.88305068016052
9,bert,384,yelp,10000,0.4645,0.2897526439902835,0.0,0.34000269940100464,388.436457157135
9,hashing-tricks,384,yelp,10000,0.4546,0.1334218459077547,0.0,0.2261677657842407,50.68762946128845
0,bert,384,yelp,20000,0.46245,0.29194901209648577,0.0,0.3456280920255745,773.2580580711365
0,hashing-tricks,384,yelp,20000,0.4623,0.1511657594569835,0.0,0.2407539383873086,102.1503918170929
1,bert,384,yelp,20000,0.4664,0.2965794839378321,0.0,0.34437713733928943,776.414626121521
1,hashing-tricks,384,yelp,20000,0.4581,0.1514452127818267,0.0,0.23811079564498297,101.98636889457703
2,bert,384,yelp,20000,0.4644,0.2927129179904392,0.0,0.3466507810393418,764.5440142154694
2,hashing-tricks,384,yelp,20000,0.4615,0.1459188148886843,0.0,0.23458204036933505,101.87973642349243
3,bert,384,yelp,20000,0.4636,0.2942008447944829,0.0,0.3470894065126387,786.5160808563232
3,hashing-tricks,384,yelp,20000,0.45505,0.1458794955007425,0.0,0.23464836570103118,102.05036044120789
4,bert,384,yelp,20000,0.46515,0.29582813156015964,0.0,0.34550816768588904,770.8243973255157
4,hashing-tricks,384,yelp,20000,0.46615,0.15855566114699965,0.0,0.24313951771080075,102.57232332229614
5,bert,384,yelp,20000,0.46615,0.29430771264399097,0.0,0.3463006503024577,783.8367328643799
5,hashing-tricks,384,yelp,20000,0.4596,0.14490365844005773,0.0,0.23857743835467696,102.02567887306213
6,bert,384,yelp,20000,0.4678,0.2946998202279693,0.0,0.34480489549314924,776.2272469997406
6,hashing-tricks,384,yelp,20000,0.4572,0.147471473699336,0.0,0.23486217023350012,101.97424173355103
7,bert,384,yelp,20000,0.46265,0.28936075986861315,0.0,0.34188023841753096,787.7918691635132
7,hashing-tricks,384,yelp,20000,0.46425,0.15088680126438223,0.0,0.24044024856833857,102.03407573699951
8,bert,384,yelp,20000,0.45085,0.2823852424691091,0.0,0.3409478563165052,786.6545917987823
8,hashing-tricks,384,yelp,20000,0.4574,0.14890322392823602,0.0,0.23922729335679807,101.844975233078
9,bert,384,yelp,20000,0.47145,0.30044193659139795,0.0,0.3518027026174071,801.5629584789276
9,hashing-tricks,384,yelp,20000,0.46415,0.15436289468106687,0.0,0.24279927041136604,102.9315390586853
0,bert,384,yelp,30000,0.46223333333333333,0.2920755322101815,0.0,0.34381867756789336,1171.6367390155792
0,hashing-tricks,384,yelp,30000,0.4587,0.14786550445202457,0.0,0.24208959738145983,153.94200205802917
1,bert,384,yelp,30000,0.4574,0.28547099138570564,0.0,0.3420128281525123,1187.9955744743347
1,hashing-tricks,384,yelp,30000,0.4614,0.1478801762372381,0.0,0.23976390588849703,153.78330159187317
2,bert,384,yelp,30000,0.4691,0.29826384901246356,0.0,0.3477016085463915,1169.685536146164
2,hashing-tricks,384,yelp,30000,0.4634666666666667,0.15557968629141816,0.0,0.24046219541097255,153.5311827659607
3,bert,384,yelp,30000,0.4623333333333333,0.2892816990147651,0.0,0.34241572393291636,1195.3009977340698
3,hashing-tricks,384,yelp,30000,0.4671666666666667,0.1539218817158442,0.0,0.24048907673722486,153.52496981620789
4,bert,384,yelp,30000,0.4602,0.2872106938783964,0.0,0.3406354565946896,1180.5914108753204
4,hashing-tricks,384,yelp,30000,0.4642,0.15146027295965026,0.0,0.23853371176567514,153.5868079662323
5,bert,384,yelp,30000,0.46163333333333334,0.2899466419806732,0.0,0.3430771703348039,1196.3280091285706
5,hashing-tricks,384,yelp,30000,0.4624333333333333,0.15025366423666242,0.0,0.23715757616516162,153.4648277759552
6,bert,384,yelp,30000,0.46163333333333334,0.28867326575516494,0.0,0.34377255433051324,1182.8241610527039
6,hashing-tricks,384,yelp,30000,0.4677,0.1565799001752709,0.0,0.24647895267986142,153.06907176971436
7,bert,384,yelp,30000,0.4630666666666667,0.2907421166134501,0.0,0.34406312003871276,1202.8017303943634
7,hashing-tricks,384,yelp,30000,0.46203333333333335,0.15128428373173786,0.0,0.239746007573824,153.23673295974731
8,bert,384,yelp,30000,0.46313333333333334,0.29142093699437366,0.0,0.34347085750225514,1184.5058379173279
8,hashing-tricks,384,yelp,30000,0.4627,0.14888384451010223,0.0,0.23594491666584425,154.83747267723083
9,bert,384,yelp,30000,0.4678,0.2960727370694952,0.0,0.34617228508297176,1193.3907401561737
9,hashing-tricks,384,yelp,30000,0.4612,0.1472698233138045,0.0,0.23409068723443127,153.89323163032532
0,bert,384,yelp,50000,0.45994,0.2904588360990503,0.0,0.3448408755905283,1963.9603247642517
0,hashing-tricks,384,yelp,50000,0.468,0.15716452152722282,0.0,0.24423146643114166,256.50584173202515
1,bert,384,yelp,50000,0.46516,0.29444815250375433,0.0,0.3472280620890921,2012.6457891464233
1,hashing-tricks,384,yelp,50000,0.46622,0.15498560141563997,0.0,0.24265707866590203,256.67619609832764
